"","zip","JobsT_1998","ArtsN_1998","ArtsW_1998","JobsN_1998","JobsW_1998","ArtSupport_1998","JobsT_1999","ArtsN_1999","ArtsW_1999","JobsN_1999","JobsW_1999","ArtSupport_1999","JobsT_2000","ArtsN_2000","ArtsW_2000","JobsN_2000","JobsW_2000","ArtSupport_2000","JobsT_2001","ArtsN_2001","ArtsW_2001","JobsN_2001","JobsW_2001","ArtSupport_2001","JobsT_2002","ArtsN_2002","ArtsW_2002","JobsN_2002","JobsW_2002","ArtSupport_2002","JobsT_2003","ArtsN_2003","ArtsW_2003","JobsN_2003","JobsW_2003","ArtSupport_2003","JobsT_2004","ArtsN_2004","ArtsW_2004","JobsN_2004","JobsW_2004","ArtSupport_2004","JobsT_2005","ArtsN_2005","ArtsW_2005","JobsN_2005","JobsW_2005","ArtSupport_2005","JobsT_2006","ArtsN_2006","ArtsW_2006","JobsN_2006","JobsW_2006","ArtSupport_2006","JobsT_2007","ArtsN_2007","ArtsW_2007","JobsN_2007","JobsW_2007","ArtSupport_2007","JobsT_2008","ArtsN_2008","ArtsW_2008","JobsN_2008","JobsW_2008","ArtSupport_2008","JobsT_2009","ArtsN_2009","ArtsW_2009","JobsN_2009","JobsW_2009","ArtSupport_2009","JobsT_2010","ArtsN_2010","ArtsW_2010","JobsN_2010","JobsW_2010","ArtSupport_2010","JobsT_2011","ArtsN_2011","ArtsW_2011","JobsN_2011","JobsW_2011","ArtSupport_2011","JobsT_2012","ArtsN_2012","ArtsW_2012","JobsN_2012","JobsW_2012","ArtSupport_2012","JobsT_2013","ArtsN_2013","ArtsW_2013","JobsN_2013","JobsW_2013","ArtSupport_2013","JobsT_2014","ArtsN_2014","ArtsW_2014","JobsN_2014","JobsW_2014","ArtSupport_2014","MedAge2k","pctba2k","pctba90","racediversity2k","racediversity90","medrent2k","medrent90","medhhinc2k","medhhinc90","meantrav2k","meantrav90","medlengthres2k","meanlengthres90","pctsamehouse2k","pctsamehouse90","pctfemale2k","pctfemale90","pctmarried2k","pctmarried90","pctchild2k","pctchild90","pctunemp2k","pctunemp90","diversityfb2k","diversityanc90","pctrental2k","pctrental90","pctpov2k","pctpov90","pctbike2k","pctbike90","pctdrove2k","pctdrove90","pctwalk2k","pctwalk90","density2000","density1990","housingdensity2000","housingdensity1990","Pop2000","Pop1990","RentMed","Democ92","NonWhite_90","CollProfLv90","CrimeRate1999county","ARTGOSLG98","City","State","Location","zipcode","Traditionalistic","Self_Expressive","Utilitarian","Charismatic","Egalitarian","Neighborly","Formality","Exhibitionism","Glamorous","Transgressive","Rational","Locality","State_Scenes","Corporateness","Ethnicity"
"22578",84124,8713,123,688,8590,8025,565,8859,124,857,8735,8002,733,8241,146,668,8095,7573,522,7811,162,709,7649,7102,547,7331,123,537,7208,6794,414,7328,124,477,7204,6851,353,7583,148,510,7435,7073,362,7853,104,436,7749,7417,332,7966,121,486,7845,7480,365,8239,240,575,7999,7664,335,7980,155,571,7825,7409,416,7662,159,577,7503,7085,418,7402,97,430,7305,6972,333,7183,142,499,7041,6684,357,7942,195,738,7747,7204,543,7699,166,605,7533,7094,439,7600,117,587,7483,7013,470,37.4,42.1300800838261,10.0298953662182,0.160962876454873,0.151322521167445,699,483,55032,32560,20.6607349689376,22.7632625994695,8,8.29343420697109,60.9115309177248,53.6775602527104,50.5138795504755,50.3867028493894,61.2951626455407,71.5170989212761,32.5249082328264,70.463112547119,3.26809804294129,4.84429065743945,0.671564231301939,0.371765434413737,24.4977824158623,13.6179410970008,4.93622821536364,7.6180111549449,0.109420073609868,0,90.5500845518751,95.5701394585726,0.925096985974336,0.492206726825267,3183.10508310889,2211.02901431818,1210.05257308897,588.393520115036,21147,725956,379,31.4,574,0.401880141010576,7052,0.626760476185006,"SALT LAKE CITY","UT","NA-US-UT-SALT LAKE CITY","84124          ",373.192307692308,391.673076923077,371.403846153846,395.25,373.788461538461,375.179487179487,397.435897435898,383.326923076923,380.346153846154,345.173076923077,369.615384615384,367.826923076923,368.423076923077,397.038461538462,368.423076923077
"1589",6239,2861,13,170,2848,2691,157,2880,21,196,2859,2684,175,3009,21,202,2988,2807,181,3019,13,192,3006,2827,179,3143,16,194,3127,2949,178,3108,51,213,3057,2895,162,3421,48,260,3373,3161,212,3391,51,235,3340,3156,184,3182,46,253,3136,2929,207,3091,13,134,3078,2957,121,2999,13,146,2986,2853,133,2918,10,146,2908,2772,136,3024,16,219,3008,2805,203,2725,19,167,2706,2558,148,2601,19,153,2582,2448,134,2802,16,141,2786,2661,125,2610,17,144,2593,2466,127,36.4,13.1278267079267,13.0978934324659,0.145564505851129,0.0894823101784501,520,505,39894,32505,23.7709404544701,20.8106382978723,7,11.0763438611169,60.6195419344208,53.8053866203301,50.7868827040856,51.6983533529552,52.9720106814361,55.0526208235414,33.6901636033125,34.9605317823016,6.80977054034049,9.53328232593726,0.656009541397353,0.446181794285572,41.1153308015191,40.1589625601339,10.6337526703062,8.22542552325108,0.128741551335694,0.19183815835368,93.1766977792082,95.0296477153819,2.04377212745414,2.4066968957098,500.276975286997,487.083028841381,207.316714712019,197.674984617147,12816,102525,488,40.4,343,0.136730514395856,3916,-1.29008980297531,"DANIELSON","CT","NA-US-CT-DANIELSON","06239          ",243.030303030303,244.848484848485,224.848484848485,247.272727272727,243.030303030303,244.848484848485,249.69696969697,247.878787878788,238.181818181818,218.787878787879,235.151515151515,241.212121212121,238.787878787879,249.69696969697,240
"13524",48236,14878,312,1553,14566,13325,1241,15787,387,1755,15400,14032,1368,15426,437,1700,14989,13726,1263,17519,391,1782,17128,15737,1391,14638,336,1527,14302,13111,1191,14622,236,1394,14386,13228,1158,14158,228,1389,13930,12769,1161,13973,242,1403,13731,12570,1161,13931,262,1565,13669,12366,1303,13399,238,1500,13161,11899,1262,13614,131,1471,13483,12143,1340,12878,152,1525,12726,11353,1373,12803,132,1672,12671,11131,1540,12555,143,1601,12412,10954,1458,12277,176,1670,12101,10607,1494,12682,124,1772,12558,10910,1648,12667,116,2043,12551,10624,1927,42.3,55.610538373425,48.7671232876712,0.123786299667808,0.060418014898973,812,509,82567,67962,23.7340237990304,23.3283571774138,11,15.2668155970755,70.0295827807814,69.7399449757631,52.2598148739228,52.1345208845209,66.0777241966203,65.4435987731455,34.5148792350177,30.7215654300856,2.7821236650568,2.55621756678839,0.675179865037185,0.231026783103945,5.37244561634806,6.61197303224758,2.70771988221739,1.74135486654749,0.035403242937053,0.0545367782398255,94.3921263187708,94.2736382848183,1.05501663952418,2.01104369759356,4218.2057415528,4391.42033681901,1686.15263621721,1695.56647291646,31366,2111687,406,60.4,781,0.484987434416472,6990,0.126242829431228,"GROSSE POINTE","MI","NA-US-MI-GROSSE POINTE","48236          ",902.14705882353,947.85294117647,835.764705882353,952.205882352941,898.882352941176,902.509803921569,924.274509803922,915.205882352941,917.382352941176,824.882352941176,880.745098039216,898.882352941176,883.64705882353,918.470588235295,883.64705882353
"14808",53203,18751,379,3623,18372,15128,3244,17740,275,3690,17465,14050,3415,21001,285,3844,20716,17157,3559,18249,371,4050,17878,14199,3679,17773,134,3800,17639,13973,3666,18088,1061,4893,17027,13195,3832,17784,1045,5084,16739,12700,4039,19269,1136,5050,18133,14219,3914,17681,709,4456,16972,13225,3747,17641,596,4814,17045,12827,4218,17390,691,5270,16699,12120,4579,17104,764,5291,16340,11813,4527,17898,1170,5786,16728,12112,4616,17834,1067,5519,16767,12315,4452,17785,1222,5023,16563,12762,3801,17290,1375,4909,15915,12381,3534,16327,993,3719,15334,12608,2726,34.9,60.2693602693603,27.8215223097113,0.374926441164701,0.514221278442557,788,360,50875,17401,15.3804347826087,19.8697068403909,1,4.16587677725119,19.047619047619,24.040404040404,50.4201680672269,34.3195266272189,37.2549019607843,11.4864864864865,4.21940928270042,13.7254901960784,3.16455696202532,5.2924791086351,0,0.529740844414279,83.2,100,13.7254901960784,36.8836291913215,0,2.94117647058824,55.0675675675676,29.7794117647059,35.1351351351351,51.1029411764706,738.694121097325,1005.50602752352,632.851381358007,509.368184995469,335,959275,434,50.6,185,0.259803921568627,6446,0.0447364532660675,"MILWAUKEE","WI","NA-US-WI-MILWAUKEE","53203          ",749.233333333334,775.991666666666,723.504166666667,775.991666666666,765.7,750.605555555556,775.305555555556,764.670833333334,760.554166666667,687.483333333334,746.488888888889,739.970833333333,727.620833333333,762.6125,728.65
"9829",33917,2604,53,193,2551,2411,140,2421,48,191,2373,2230,143,2519,6,117,2513,2402,111,2543,9,129,2534,2414,120,4210,18,156,4192,4054,138,3626,18,169,3608,3457,151,3795,28,188,3767,3607,160,4037,34,182,4003,3855,148,4065,35,164,4030,3901,129,4206,23,156,4183,4050,133,3511,23,150,3488,3361,127,3440,26,116,3414,3324,90,3598,57,150,3541,3448,93,3450,47,215,3403,3235,168,3475,50,205,3425,3270,155,3465,50,252,3415,3213,202,3909,47,336,3862,3573,289,52.4,13.2313271127228,29.4082421470956,0.0993426823465168,0.0546433669631706,569,590,33120,38186,27.5920866221413,18.8079539013792,6,6.95512879697166,56.6146862874295,42.4183091850498,51.906096706377,53.5971973140927,63.5789645199397,63.5704685099846,17.2712631336759,20.8573019113008,4.1972622609011,3.85590626912652,0.567453807882477,0.296859460556057,14.1301012580546,24.7045790251108,12.6089707536558,4.23387096774194,0.647948164146868,0.4319058996508,94.3059100726487,94.7344238191509,0.638130767720401,1.10273846719353,584.669706856341,492.079773586804,333.573504892128,277.503677957514,28561,335113,504,32.3,400,0.0857203933304831,5187,0.325226065656163,"NORTH FORT MYERS","FL","NA-US-FL-NORTH FORT MYERS","33917          ",176.480769230769,179.221153846154,154.557692307692,180.317307692308,174.836538461538,176.115384615385,175.384615384615,175.932692307692,171,157.846153846154,169.538461538462,173.740384615385,168.807692307692,173.740384615385,169.903846153846
"21217",78249,13950,114,1195,13836,12755,1081,14584,153,1291,14431,13293,1138,16311,161,1496,16150,14815,1335,19329,132,1421,19197,17908,1289,21309,150,1549,21159,19760,1399,20929,293,1913,20636,19016,1620,22713,169,1843,22544,20870,1674,22560,159,1762,22401,20798,1603,24362,138,2394,24224,21968,2256,28553,201,3240,28352,25313,3039,28349,147,3580,28202,24769,3433,27688,153,3122,27535,24566,2969,24631,152,3590,24479,21041,3438,28879,224,3466,28655,25413,3242,32631,513,4772,32118,27859,4259,30222,191,4651,30031,25571,4460,31011,102,3861,30909,27150,3759,32,41.1727919953819,35.7944477259303,0.632301915605432,0.588856162841013,684,688,58101,41974,23.6888131426017,26.4142211674501,4,4.18782745998708,45.6801412625339,31.370636550308,51.0437986082685,51.4198528909435,59.5014164305949,71.9914134742404,40.7449392712551,59.7842394798885,2.82950171642567,4.08292518155717,0.633805231332685,0.508221918595834,25.8054018874064,24.3809660518194,8.23948893180805,3.19643061434618,0.14710689767898,0.0764044943820225,93.881442737278,96.5393258426966,1.53644982020268,0.669662921348315,1821.11039263332,2335.00548090843,672.623048791271,811.749704116167,34190,1185394,379,41.5,2444,0.388327721661055,6294,-0.254680294336264,"SAN ANTONIO","TX","NA-US-TX-SAN ANTONIO","78249          ",309.1875,319.28125,300.6875,324.0625,305.46875,308.125,323.708333333333,315.03125,314.5,276.25,304.583333333333,298.5625,303.34375,326.1875,302.28125
"8124",29625,5494,52,293,5442,5201,241,5633,80,327,5553,5306,247,5881,69,451,5812,5430,382,6109,46,549,6063,5560,503,4693,121,499,4572,4194,378,5583,66,474,5517,5109,408,6034,86,469,5948,5565,383,6687,77,352,6610,6335,275,6803,65,384,6738,6419,319,7112,61,267,7051,6845,206,6972,25,384,6947,6588,359,6645,67,423,6578,6222,356,6828,83,522,6745,6306,439,6266,76,436,6190,5830,360,6839,74,549,6765,6290,475,7145,77,550,7068,6595,473,7363,63,532,7300,6831,469,37.1,16.8278529980658,13.6069565217391,0.311857313672761,0.247668333802182,499,352,37872,27040,21.2844119505371,17.8027011156782,6,12.1276383677298,52.8811715101782,61.0100909181736,51.9932073869667,52.5669851976766,57.9506802721088,63.8974657733761,29.557157569516,32.4171287011915,3.77923915757929,5.02027940513745,0.626373914090769,0.49080140615435,28.0934733374511,28.5328955083851,12.7261761158022,12.621359223301,0.0443223118517862,0.203567274137262,96.2946547291907,95.8123303606049,0.966226398368939,1.67700659170221,561.042311426644,506.661028044085,258.370672407411,218.835813015796,23543,145196,326,33.5,2046,0.133333333333333,4152,-0.937027544607894,"ANDERSON","SC","NA-US-SC-ANDERSON","29625          ",274.632352941177,279.926470588235,256.102941176471,281.25,274.632352941177,273.529411764706,281.470588235294,277.279411764706,267.352941176471,248.823529411765,267.352941176471,282.573529411765,265.367647058823,275.294117647059,269.338235294118
"3345",12817,530,10,82,520,448,72,505,10,64,495,441,54,550,10,73,540,477,63,567,17,83,550,484,66,611,23,89,588,522,66,607,20,80,587,527,60,688,30,92,658,596,62,660,30,92,630,568,62,744,30,92,714,652,62,631,27,83,604,548,56,648,33,80,615,568,47,583,36,80,547,503,44,504,30,78,474,426,48,552,30,75,522,477,45,726,27,79,699,647,52,533,27,97,506,436,70,560,30,103,530,457,73,43.2,21.6687422166874,9.05511811023622,0.0264229173243373,0,453,351,36505,25757,27.9076923076923,23.3851351351351,11,14.4856115107914,69.4430992736077,66.027397260274,49.1260349586017,49.7435897435897,61.3958560523446,63.4551495016611,21.4807090719499,40.7142857142857,4.22932330827068,11.3636363636364,0.478462086151655,0.293429876286276,21.1252653927813,12.8571428571429,13.5498839907193,14.0664961636829,0.297914597815293,0,95.3326713008938,90.2597402597403,0.794438927507448,3.8961038961039,39.7350596312052,7.08581310295841,34.5569654405818,7.75805691016216,2187,59209,452,34.1,0,0.0996632996632997,2775,0.384842438888065,"CHESTERTOWN","NY","NA-US-NY-CHESTERTOWN","12817          ",70.3529411764706,71.0294117647059,64.6029411764706,74.4117647058823,69.6764705882353,70.8039215686275,74.4117647058823,70.014705882353,72.0441176470588,64.2647058823529,67.1960784313725,71.3676470588235,67.3088235294118,71.0294117647059,68.6617647058823
"12235",44147,5455,154,728,5301,4727,574,5124,231,673,4893,4451,442,5602,227,729,5375,4873,502,5872,185,686,5687,5186,501,6200,189,969,6011,5231,780,6152,149,862,6003,5290,713,5906,131,742,5775,5164,611,6461,144,971,6317,5490,827,6665,175,907,6490,5758,732,6156,176,885,5980,5271,709,6503,179,725,6324,5778,546,6274,190,799,6084,5475,609,5747,178,723,5569,5024,545,5993,190,800,5803,5193,610,6360,191,900,6169,5460,709,6929,151,955,6778,5974,804,6242,178,717,6064,5525,539,39.2,36.6902558519325,27.4666981020865,0.111303654097844,0.0935161898785061,726,640,56989,39670,25.1223162003904,24.5650379663255,5,10.9850526315789,55.5005684478031,55.8875065708779,51.7003820379533,50.3565866054595,60.0315706393054,61.8545308418726,32.1211175277041,29.7840812870449,3.43470483005367,3.73317013463892,0.468771447498513,0.215824077316697,22.6953673373889,28.6947368421053,3.19290465631929,4.77479694806793,0,0,92.9459018451111,96.2662611927691,0.615037027739425,1.31779016725798,1222.51159236618,934.776163675253,520.912235483594,383.289644290812,15954,1412140,397,52.7,481,0.277157604129156,4863,0.490165760804405,"BROADVIEW HEIGHTS","OH","NA-US-OH-BROADVIEW HEIGHTS","44147          ",350.111111111111,368,323.916666666667,373.75,353.944444444445,350.962962962963,362.888888888889,356.5,358.416666666667,319.444444444444,342.444444444445,347.555555555555,337.972222222222,366.722222222222,341.805555555556
"20470",76102,44299,533,5428,43766,38871,4895,45442,568,5800,44874,39642,5232,45066,598,5600,44468,39466,5002,43917,613,6254,43304,37663,5641,42911,657,5122,42254,37789,4465,42633,892,5613,41741,37020,4721,42606,939,5750,41667,36856,4811,41138,876,5516,40262,35622,4640,41600,838,5678,40762,35922,4840,41562,910,5631,40652,35931,4721,40076,807,5330,39269,34746,4523,44486,859,4165,43627,40321,3306,39953,743,4205,39210,35748,3462,40803,673,3896,40130,36907,3223,40999,691,4371,40308,36628,3680,41418,911,4520,40507,36898,3609,43700,873,4803,42827,38897,3930,32.3,14.963376351587,4.331520720045,0.702545302369209,0.648517167345963,525,199,20000,8348,20.9286775631501,21.453795379538,2,9.51854714064915,26.8531122385843,31.6996741037854,41.995575736407,40.1342740100137,52.841845140033,31.2100058173357,29.7309027777778,36.9655891553702,20.2372127501853,29.64151952916,0.457118250280404,0.309141967264574,85.0759219088937,79.5466254507986,43.2753726046842,66.922691601269,0.517647058823529,0,75.3411764705882,77.233676975945,9.78823529411765,16.9243986254296,1883.2442187172,1909.59891722391,598.787683868691,487.561922374246,8432,1170103,430,33.1,5941,0.04331520720045,5646,-0.452922264430196,"FORT WORTH","TX","NA-US-TX-FORT WORTH","76102          ",1591.88059701492,1694.32835820895,1562.32835820895,1708.11940298508,1619.46268656716,1602.38805970149,1662.80597014925,1621.4328358209,1641.13432835821,1473.67164179105,1578.74626865672,1582.02985074627,1580.05970149254,1692.35820895523,1558.38805970149
