"","zip","JobsT_1998","ArtsN_1998","ArtsW_1998","JobsN_1998","JobsW_1998","ArtSupport_1998","JobsT_1999","ArtsN_1999","ArtsW_1999","JobsN_1999","JobsW_1999","ArtSupport_1999","JobsT_2000","ArtsN_2000","ArtsW_2000","JobsN_2000","JobsW_2000","ArtSupport_2000","JobsT_2001","ArtsN_2001","ArtsW_2001","JobsN_2001","JobsW_2001","ArtSupport_2001","JobsT_2002","ArtsN_2002","ArtsW_2002","JobsN_2002","JobsW_2002","ArtSupport_2002","JobsT_2003","ArtsN_2003","ArtsW_2003","JobsN_2003","JobsW_2003","ArtSupport_2003","JobsT_2004","ArtsN_2004","ArtsW_2004","JobsN_2004","JobsW_2004","ArtSupport_2004","JobsT_2005","ArtsN_2005","ArtsW_2005","JobsN_2005","JobsW_2005","ArtSupport_2005","JobsT_2006","ArtsN_2006","ArtsW_2006","JobsN_2006","JobsW_2006","ArtSupport_2006","JobsT_2007","ArtsN_2007","ArtsW_2007","JobsN_2007","JobsW_2007","ArtSupport_2007","JobsT_2008","ArtsN_2008","ArtsW_2008","JobsN_2008","JobsW_2008","ArtSupport_2008","JobsT_2009","ArtsN_2009","ArtsW_2009","JobsN_2009","JobsW_2009","ArtSupport_2009","JobsT_2010","ArtsN_2010","ArtsW_2010","JobsN_2010","JobsW_2010","ArtSupport_2010","JobsT_2011","ArtsN_2011","ArtsW_2011","JobsN_2011","JobsW_2011","ArtSupport_2011","JobsT_2012","ArtsN_2012","ArtsW_2012","JobsN_2012","JobsW_2012","ArtSupport_2012","JobsT_2013","ArtsN_2013","ArtsW_2013","JobsN_2013","JobsW_2013","ArtSupport_2013","JobsT_2014","ArtsN_2014","ArtsW_2014","JobsN_2014","JobsW_2014","ArtSupport_2014","MedAge2k","pctba2k","pctba90","racediversity2k","racediversity90","medrent2k","medrent90","medhhinc2k","medhhinc90","meantrav2k","meantrav90","medlengthres2k","meanlengthres90","pctsamehouse2k","pctsamehouse90","pctfemale2k","pctfemale90","pctmarried2k","pctmarried90","pctchild2k","pctchild90","pctunemp2k","pctunemp90","diversityfb2k","diversityanc90","pctrental2k","pctrental90","pctpov2k","pctpov90","pctbike2k","pctbike90","pctdrove2k","pctdrove90","pctwalk2k","pctwalk90","density2000","density1990","housingdensity2000","housingdensity1990","Pop2000","Pop1990","RentMed","Democ92","NonWhite_90","CollProfLv90","CrimeRate1999county","ARTGOSLG98","City","State","Location","zipcode","esNAICS_AP11","esNAICS_AP12","esNAICS_AP13","esNAICS_AP14","esNAICS_AP15","esNAICS_AP21","esNAICS_AP22","esNAICS_AP23","esNAICS_AP24","esNAICS_AP25","esNAICS_AP26","esNAICS_AP31","esNAICS_AP32","esNAICS_AP33","esNAICS_AP34","esNAICS_DP11","esNAICS_DP12","esNAICS_INT11","esNAICS_INT12","esNAICS_INT13","esNAICS_INT14","esNAICS_INT15","esNAICS_INT21","esNAICS_INT22","esNAICS_INT23","esNAICS_INT24","esNAICS_INT25","esNAICS_INT26","esNAICS_INT31","esNAICS_INT32","esNAICS_INT33","esNAICS_INT34"
"502",2568,2098,84,399,2014,1699,315,2246,86,493,2160,1753,407,2300,85,481,2215,1819,396,2150,94,404,2056,1746,310,2039,81,336,1958,1703,255,2099,88,387,2011,1712,299,2130,91,313,2039,1817,222,2179,87,341,2092,1838,254,2237,103,347,2134,1890,244,2447,190,435,2257,2012,245,2299,142,349,2157,1950,207,2353,152,411,2201,1942,259,2288,146,443,2142,1845,297,2305,155,372,2150,1933,217,2426,321,590,2105,1836,269,2490,325,626,2165,1864,301,2432,333,600,2099,1832,267,40.3,36.4714603409933,13.5664993726474,0.21328334320485,0.205183415091136,702,589,42386,31259,16.7203311867525,25.9756690997567,7,10.8197722854763,61.6452042628774,56.2485720813342,51.41810570382,52.5258864135551,52.2339876033058,59.560878243513,29.7700587084149,35.9988931931378,2.31697819314642,9.04311251314406,0.675354016757517,0.426679181938477,29.4189752390292,28.9641766176062,8.44458571731299,8.16741597088418,1.57741801577418,0,80.4483188044832,95.031355523396,4.17185554171856,1.4954172696575,227.250253375348,227.036113255949,192.535760686139,131.957900242873,9551,11639,647,54.4,515,0.272534214252006,3542,1.20497007356533,"VINEYARD HAVEN","MA","NA-US-MA-VINEYARD HAVEN","02568          ",416.185185185185,433.185185185185,374,430.666666666667,414.296296296296,414.716049382716,418.913580246914,419.333333333333,416.814814814815,384.703703703704,401.283950617284,418.074074074074,407.37037037037,417.444444444445,408,3.06018518518519,3.18518518518519,414,427.75,372.25,425,420,413.666666666667,424,425.5,420.25,384.75,403.333333333333,415.5,400.75,413.5,408
"20092",75074,25927,716,3443,25211,22484,2727,25482,671,3400,24811,22082,2729,27207,662,3385,26545,23822,2723,29626,495,3374,29131,26252,2879,30395,442,3223,29953,27172,2781,32015,517,3271,31498,28744,2754,30317,501,3306,29816,27011,2805,31460,537,3514,30923,27946,2977,30635,540,3321,30095,27314,2781,32762,521,3512,32241,29250,2991,34186,492,3447,33694,30739,2955,32988,248,3450,32740,29538,3202,32277,233,3455,32044,28822,3222,32614,255,3172,32359,29442,2917,33931,284,3757,33647,30174,3473,34353,277,3917,34076,30436,3640,35686,340,4209,35346,31477,3869,31.2,27.946505608283,28.2413279655876,0.627856300051487,0.356062429098904,785,688,54000,42374,26.3997526665636,23.3697559115179,4,7.11659774978363,43.6082623140257,44.4481138998973,48.2561387640001,49.923542317665,60.6115232614574,62.8573969496198,39.8801290917473,45.3605285837403,4.08557560906649,4.19276270006959,0.354525501170786,0.481046435158576,37.3983109940342,35.7630541398211,9.74740932642487,7.98289856040616,0.399740168890221,0.313617261494073,91.0308299605257,93.4767609609233,3.04801878778794,2.12632503292981,2469.36748021899,1998.7002633503,897.525313312852,741.054729353135,37371,264036,526,19,5146,0.275118004045853,3513,0.00411331961792525,"PLANO","TX","NA-US-TX-PLANO","75074          ",1014.421875,1065.71875,978.828125,1076.1875,1007.09375,1007.79166666667,1051.0625,1021.75,1033.265625,924.390625,982.666666666666,994.53125,1005,1077.234375,993.484375,3.028125,3.18125,1013.5,1033.5,973.5,1048.5,1028,1032,1072.33333333333,1032.25,1025.25,919.25,1021.66666666667,1002.25,984.75,1042.5,993
"4274",15644,7918,42,395,7876,7523,353,7998,46,476,7952,7522,430,7538,44,373,7494,7165,329,6142,40,340,6102,5802,300,6274,25,398,6249,5876,373,6281,47,434,6234,5847,387,6930,42,433,6888,6497,391,5899,33,415,5866,5484,382,5685,61,414,5624,5271,353,5487,50,447,5437,5040,397,5615,50,476,5565,5139,426,5343,53,462,5290,4881,409,5475,56,427,5419,5048,371,4633,48,439,4585,4194,391,4915,35,392,4880,4523,357,5033,31,390,5002,4643,359,6282,31,377,6251,5905,346,41.1,16.4268164268164,11.4260040091242,0.0877518185711553,0.0568804959506395,402,373,33266,24188,22.2932714091527,18.8698781195589,13,16.3487191594853,69.9449793672627,70.392840891855,51.9277891683753,52.903195400132,59.3888070692194,62.2159591333451,28.8147967875395,31.8256578947368,4.45045232400957,7.11157455683003,0.562324128160842,0.195208658925246,23.3594220349187,24.7167138810198,10.1160443995964,11.4752545583708,0,0.0568117259402341,93.2741398446171,92.1486194750597,2.86348501664817,3.98818316100443,961.409881621566,1015.26260904699,428.287010741276,432.782709123149,20102,370321,321,45.2,556,0.0953202650469354,1590,-1.31670805034335,"JEANNETTE","PA","NA-US-PA-JEANNETTE","15644          ",269.657142857143,278.457142857143,247.657142857143,280.342857142857,267.771428571429,268.190476190476,266.514285714286,274.057142857143,264.628571428571,250.8,257.295238095238,266.514285714286,260.857142857143,264.628571428571,262.114285714286,3.06428571428572,3.16428571428571,268.75,272.5,240.75,278,275,279,269.333333333333,278,269.25,244.5,259.333333333333,268.25,253.25,260.5,262.75
"14647",52732,14434,441,1586,13993,12848,1145,15625,434,1476,15191,14149,1042,16848,412,1483,16436,15365,1071,16429,421,1521,16008,14908,1100,15285,416,1677,14869,13608,1261,15277,483,1670,14794,13607,1187,15778,487,1770,15291,14008,1283,16833,497,1787,16336,15046,1290,16741,526,1833,16215,14908,1307,17718,125,1300,17593,16418,1175,19393,118,1292,19275,18101,1174,19265,93,1466,19172,17799,1373,18266,203,1453,18063,16813,1250,16881,260,1555,16621,15326,1295,16978,236,1602,16742,15376,1366,16654,233,1737,16421,14917,1504,16515,229,1759,16286,14756,1530,38.4,14.8386101973684,14.1188021600393,0.128398056591689,0.0672875147607602,384,309,34746,26258,17.4370433701228,14.5169779286927,7,13.0669339661239,56.4500308787736,58.3800927055379,51.6640038073223,52.7273316902322,55.4322778868311,59.6561391935351,30.2598700649675,33.5232359404248,5.87414538858658,8.18551117129316,0.647060282439075,0.268807403130275,30.0124947938359,30.952380952381,12.1837480424569,12.2411107797329,0.302206104563312,0.257380772142316,92.5128437594439,90.999242997729,2.60652765185857,5.06434519303558,263.701166014798,276.860641433585,116.774635554567,118.542996166778,29377,51040,306,46.8,1005,0.141392735695629,1826,-0.077264395589134,"CLINTON","IA","NA-US-IA-CLINTON","52732          ",613.578947368421,638.263157894737,561.565789473684,640.026315789474,607.407894736842,608.877192982456,621.80701754386,623.276315789474,612.697368421052,550.986842105264,592.421052631579,610.052631578947,593.302631578948,625.03947368421,597.71052631579,3.05263157894737,3.17543859649123,615.25,610,550,633,631.75,632.666666666667,647,637.75,620,538.5,596.666666666667,604.75,573.75,611.25,599.75
"11588",40503,27591,407,3832,27184,23759,3425,26511,398,4289,26113,22222,3891,27511,405,5006,27106,22505,4601,27598,564,4522,27034,23076,3958,26833,327,4278,26506,22555,3951,27890,509,4392,27381,23498,3883,26089,504,3964,25585,22125,3460,27845,736,4654,27109,23191,3918,27182,648,4572,26534,22610,3924,26728,496,4759,26232,21969,4263,26614,564,4818,26050,21796,4254,25130,509,4771,24621,20359,4262,25358,482,4736,24876,20622,4254,24369,451,4636,23918,19733,4185,25356,551,4942,24805,20414,4391,25724,462,4984,25262,20740,4522,24863,488,5337,24375,19526,4849,36.6,40.7369663162412,38.2024393024051,0.180097276743763,0.0764808659526471,564,475,46128,37443,18.6743851476331,17.2612463265767,6,11.2012851023322,52.2517321016166,53.0341932591596,51.4691873671869,52.3632603033553,56.5805012465556,60.8695652173913,27.1187904967603,31.0051595643035,3.31865466845363,3.55354659248957,0.656595455949582,0.342880624898781,29.7091412742382,27.2035027603274,8.11137101033728,7.32596470816366,1.22229684351914,0.449454759799587,91.3700470114171,92.6613616268789,4.09670920080591,3.3745947539051,3050.27208827501,2906.76913445025,1343.03190815989,1227.45084690104,27420,225366,394,40.1,1302,0.355883668903803,6102,0.416581462883025,"LEXINGTON","KY","NA-US-KY-LEXINGTON","40503          ",1232.446875,1292.225,1168.853125,1303.671875,1243.89375,1232.87083333333,1266.7875,1257.884375,1251.525,1125.609375,1200.65,1199.378125,1212.096875,1292.225,1205.7375,3.028125,3.175,1240.25,1274.5,1152.5,1285.5,1258.75,1243.66666666667,1283,1250.5,1253.75,1109.75,1203,1216.25,1189.25,1277.75,1211
"9855",33957,3730,76,888,3654,2842,812,4676,101,783,4575,3893,682,3829,109,901,3720,2928,792,3582,102,826,3480,2756,724,3609,96,683,3513,2926,587,3751,79,821,3672,2930,742,4297,86,887,4211,3410,801,3353,94,679,3259,2674,585,3481,95,708,3386,2773,613,2995,73,684,2922,2311,611,3247,68,769,3179,2478,701,3197,64,861,3133,2336,797,3394,38,776,3356,2618,738,3366,34,921,3332,2445,887,3542,54,1205,3488,2337,1151,3332,52,1003,3280,2329,951,3331,52,953,3279,2378,901,60.5,54.9859154929578,5.64334085778781,0.0885274702297042,0.121218270365998,1016,279,78780,17042,18.2972047917855,23.8020304568528,5,5.90989399293286,52.6271329616489,28.1081081081081,52.6359279457941,52.4350649350649,74.0827760708476,77.7131782945737,11.8610090210491,22.4334600760456,2.51542477456099,11.4035087719298,0.610609771493498,0.386469285494136,13.7998691955526,18.7279151943463,3.22740814299901,20.0980392156863,3.17617866004963,0,78.014888337469,92.3857868020305,3.72208436724566,4.06091370558376,349.272196050649,35.1332123812416,408.38067877023,24.7763533568039,6104,335113,504,32.3,86,0.409244869495916,5187,0.552766542387077,"SANIBEL","FL","NA-US-FL-SANIBEL","33957          ",519.35,548.25,479.4,541.45,515.1,517.933333333333,528.133333333333,522.75,526.15,475.15,508.866666666667,510,504.9,527,508.3,3.055,3.225,518.5,540.5,473.5,532.5,516.75,512.333333333333,529.333333333333,524.25,525.25,473.25,506,508,503.5,525.75,508.5
"6713",24558,1641,9,78,1632,1563,69,1675,9,78,1666,1597,69,1723,16,89,1707,1634,73,1762,13,61,1749,1701,48,1714,13,57,1701,1657,44,954,28,88,926,866,60,959,28,119,931,840,91,938,24,125,914,813,101,933,12,87,921,846,75,852,12,104,840,748,92,871,9,113,862,758,104,772,9,93,763,679,84,776,6,78,770,698,72,809,9,86,800,723,77,821,9,84,812,737,75,819,12,100,807,719,88,810,12,106,798,704,94,40.8,11.8355928556058,9.88045864845084,0.474783525773101,0.459462315756828,380,243,34452,24133,23.8253638253638,18.7976776917664,10,14.9384515006525,63.607240108922,66.1706177539367,50.9165277988184,53.5305655442955,62.2710622710623,62.2050447518308,27.3238380809595,32.6068003487358,6.66049953746531,4.43796566245546,0.489795918367347,0.48915461878394,17.9390748401655,21,14.5050125313283,13.1517768183328,0,0,95.5773126266037,94.9605759341789,0.438892640108035,1.02845389098389,73.0360453727407,68.7108809413328,32.1425656452949,27.7950489429237,6535,29033,227,42.2,3125,0.0935905965846086,2249,-0.984553898027919,"HALIFAX","VA","NA-US-VA-HALIFAX","24558          ",137.368421052632,141.513157894737,119.013157894737,143.881578947368,133.815789473684,141.315789473684,141.315789473684,141.513157894737,141.513157894737,122.565789473684,131.842105263158,140.921052631579,132.631578947368,138.552631578947,135,3.05263157894737,3.14473684210526,139,132.75,116.75,144.75,146.5,149.666666666667,152.333333333333,141,140.75,116.25,132.333333333333,138,119,133.5,135
"21283",78412,8653,72,1833,8581,6820,1761,8050,197,2026,7853,6024,1829,7873,179,2007,7694,5866,1828,7725,146,1946,7579,5779,1800,7417,148,1699,7269,5718,1551,7560,86,1577,7474,5983,1491,7779,81,1758,7698,6021,1677,7857,89,1818,7768,6039,1729,8285,67,1833,8218,6452,1766,7593,64,1818,7529,5775,1754,8168,69,2142,8099,6026,2073,8039,84,2211,7955,5828,2127,7874,82,2147,7792,5727,2065,7841,100,2220,7741,5621,2120,8047,176,2485,7871,5562,2309,8313,136,2459,8177,5854,2323,8787,173,2580,8614,6207,2407,33,24.7142652192626,24.3125355585056,0.656758118589554,0.56484205195075,593,440,37748,29329,18.0792195001847,18.1157514823408,5,8.85038729666925,48.3978215439174,47.3767937146938,52.2607318789585,51.8985069267826,52.6528643514396,58.8376784605835,31.8939110945088,35.9264931087289,6.13328860561333,6.46361311322948,0.541368478599955,0.512022596690405,46.9178082191781,46.9635941130906,13.757712565839,16.6240486146626,0.265540132770066,0.159989760655318,93.4097767048883,95.06591578139,2.49849124924562,1.63189555868424,3523.70212255974,3478.74690117133,1489.42656300448,1455.55477177405,34018,291145,369,46,5468,0.240222137839377,6937,0.319373619919594,"CORPUS CHRISTI","TX","NA-US-TX-CORPUS CHRISTI","78412          ",641.115384615385,671.142307692308,590.8,670.330769230769,641.926923076923,638.410256410256,665.461538461538,656.534615384615,659.780769230769,589.988461538462,621.097435897436,636.246153846154,629.753846153846,661.403846153846,631.376923076923,3.03846153846154,3.18076923076923,642.75,659.75,573.5,666,651.75,647,658.666666666667,677.75,661.5,596.25,618,629,614.25,646.5,631.25
"11231",39042,7525,69,949,7456,6576,880,6404,49,773,6355,5631,724,6474,58,837,6416,5637,779,7405,73,813,7332,6592,740,6575,25,945,6550,5630,920,6557,60,977,6497,5580,917,7000,65,1034,6935,5966,969,6791,75,987,6716,5804,912,8567,81,1125,8486,7442,1044,7594,57,961,7537,6633,904,7619,55,1124,7564,6495,1069,7889,72,1216,7817,6673,1144,7899,71,1219,7828,6680,1148,7777,74,1204,7703,6573,1130,8207,83,1239,8124,6968,1156,8534,75,1363,8459,7171,1288,8362,87,1248,8275,7114,1161,35.5,22.7296892368663,7.03922622246104,0.389801003047968,0.448883777924725,629,242,47853,20327,26.5245497346985,32.3557929334429,5,11.7502304147465,50.8428512453557,67.0197740112994,49.8272800645682,52.6109660574413,60.0159904057565,63.6720453554296,37.4474053295933,39.6911898274296,3.25542570951586,8.27886710239651,0.705203626926934,0.500881737273051,19.1359872293724,17.5115207373272,7.60576057605761,18.1402936378467,0,0,95.9959231217239,97.1613949716139,0.677052999417589,0.16220600162206,136.370429350868,13.744043542532,48.5423014379696,5.35925456255779,29568,87161,423,22.5,7374,0.266985908858971,2261,-0.329995150206117,"BRANDON","MS","NA-US-MS-BRANDON","39042          ",391.583333333333,407.458333333333,359.077380952381,405.190476190476,389.315476190476,387.047619047619,403.174603174603,396.875,389.315476190476,346.982142857143,378.984126984127,388.559523809524,377.220238095238,398.386904761905,378.732142857143,3.08333333333333,3.20833333333333,390.5,395.5,348.5,402.5,398.25,398.333333333333,415.666666666667,400.75,394,341.25,379.333333333333,390,360,388,380
"9710",33701,20520,690,1791,19830,18729,1101,20977,743,1887,20234,19090,1144,20891,720,1720,20171,19171,1000,21735,658,2151,21077,19584,1493,22130,252,3786,21878,18344,3534,23335,302,3661,23033,19674,3359,23305,307,3754,22998,19551,3447,24326,940,4375,23386,19951,3435,25793,178,3895,25615,21898,3717,24043,474,4210,23569,19833,3736,22403,618,4375,21785,18028,3757,23249,478,3971,22771,19278,3493,22621,506,4168,22115,18453,3662,22813,506,4537,22307,18276,4031,23827,759,4692,23068,19135,3933,24824,758,4992,24066,19832,4234,24253,827,4882,23426,19371,4055,43.1,23.2791704090798,17.983651226158,0.450685992130327,0.392324416225539,423,308,21502,14708,23.8291837377876,19.603638958259,3,5.83113323637991,33.497105936196,36.0497326547703,49.3715758942958,50.6851829193687,33.077035735208,31.9340537545026,12.4072497263107,12.3186737278379,10.1341479612166,9.59443099273608,0.660274568420216,0.494128980984794,70.5775297257947,74.7958384606779,25.1715936119606,26.2265892904247,3.20268415433887,3.04765422977466,74.8208021961263,77.8537125969708,7.70169284733872,12.0059106021426,5567.95171882532,5925.41030777293,3695.1874194858,4472.75944630498,15374,851659,463,38,3957,0.168712903488088,5848,0.0379211811758191,"SAINT PETERSBURG","FL","NA-US-FL-SAINT PETERSBURG","33701          ",1102,1163.75,1015.3125,1162.5625,1103.1875,1094.08333333333,1135.25,1115.0625,1117.4375,1014.125,1070.33333333333,1107.9375,1078.25,1125.75,1077.0625,3.05263157894737,3.22368421052632,1093,1086.5,1035,1122,1100,1096.33333333333,1292.66666666667,1104.75,1103.75,980.5,1117.66666666667,1087,1067.25,1130.75,1079.25
